Serial No.,College Name,Department,Location
62,Sri Sairam Engineering College,No data found,No data found
63,NMAM Institute of Technology - [NMAMIT],No data found,No data found
64,"CVR College of Engineering, Ibrahimpatnam",No data found,No data found
65,Yeshwantrao Chavan College of Engineering - [YCCE],No data found,No data found
66,"Institute of Technology, Nirma University",No data found,No data found
67,Sant Longowal Institute of Engineering and Technology - [SLIET],No data found,No data found
68,Sri Ramakrishna Engineering College - [SREC],No data found,No data found
69,Chennai Institute of Technology - [CIT],No data found,No data found
70,Institute of Aeronautical Engineering - [IARE],No data found,No data found
71,Nitte Meenakshi Institute of Technology - [NMIT],No data found,No data found
72,Sri Venkateswara College of Engineering - [SVCE],No data found,No data found
73,Rajalakshmi Engineering College - [REC],No data found,No data found
74,PES University - [PESU],No data found,No data found
75,Heritage Institute of Technology - [HIT],No data found,No data found
76,Sri Krishna College of Technology - [SKCT],No data found,No data found
77,PSNA College of Engineering and Technology,No data found,No data found
78,BV Raju Institute of Technology - [BVRIT],No data found,No data found
79,University of Petroleum and Energy Studies - [UPES],"UPES, School of Law","Dehradun, Uttarakhand"
79,University of Petroleum and Energy Studies - [UPES],"UPES, School of Business","Dehradun, Uttarakhand"
79,University of Petroleum and Energy Studies - [UPES],"UPES, School of Engineering","Dehradun, Uttarakhand"
79,University of Petroleum and Energy Studies - [UPES],"UPES, School of Design Studies - [SoDS]","Dehradun, Uttarakhand"
80,Vardhaman College of Engineering - [VCE],No data found,No data found
81,BMS Institute of Technology and Management - [BMSIT],No data found,No data found
82,B. N. M. Institute of Technology - [BNMIT],No data found,No data found
83,KLE Technological University,No data found,No data found
84,RMK Engineering College - [RMKEC],No data found,No data found
85,MIT World Peace University - [MIT-WPU],MIT-WPU Faculty of Liberal Arts,"Pune, Maharashtra"
85,MIT World Peace University - [MIT-WPU],MIT-WPU Faculty of Engineering,"Pune, Maharashtra"
86,Vishwakarma Institute of Information Technology - [VIIT],No data found,No data found
87,Anurag University,No data found,No data found
88,Narula Institute of Technology - [NIT Agarpara],No data found,No data found
89,PES College of Engineering - [PESCE],No data found,No data found
90,Sree Vidyanikethan Engineering College - [SVEC],No data found,No data found
91,"Manav Rachna International Institute Of Research And Studies, Faculty of Engineering and Technology - [MRIIRSFET]",No data found,No data found
92,Vasavi College of Engineering,No data found,No data found
93,CMR Institute of Technology - [CMRIT],No data found,No data found
94,G. Pulla Reddy Engineering College - [GPREC],No data found,No data found
95,Haldia Institute of Technology - [HIT],No data found,No data found
