Serial No.,College Name,Location,URL
240,Oriental University - [OU],Indore,https://collegedunia.com/university/25680-oriental-university-ou-indore
241,University of Science and Technology - [USTM],Ri-Bhoi,https://collegedunia.com/university/25745-university-of-science-and-technology-ustm-ribhoi
242,Guru Kashi University,Bathinda,https://collegedunia.com/university/25783-guru-kashi-university-bathinda
243,Noida International University - [NIU],Greater Noida,https://collegedunia.com/university/25964-noida-international-university-niu-greater-noida
244,Central Institute of Technology - [CIT],Kokrajhar,https://collegedunia.com/university/45650-central-institute-of-technology-cit-kokrajhar
245,Vidyalankar Institute of Technology - [VIT],Mumbai,https://collegedunia.com/college/45849-vidyalankar-institute-of-technology-vit-mumbai
246,Madhav University - [MU],Sirohi,https://collegedunia.com/university/54829-madhav-university-mu-sirohi
247,Graphic Era Hill University - [GEHU],Dehradun,https://collegedunia.com/university/57205-graphic-era-hill-university-gehu-dehradun
248,University of Engineering and Management - [UEM],Kolkata,https://collegedunia.com/college/57446-university-of-engineering-and-management-uem-kolkata
249,Mangalayatan University,Jabalpur,https://collegedunia.com/university/60260-mangalayatan-university-jabalpur
250,Assam down town University - [ADTU],Guwahati,https://collegedunia.com/university/25391-assam-down-town-university-adtu-guwahati
251,Amity University,Gwalior,https://collegedunia.com/university/25658-amity-university-gwalior
252,GSFC University,Vadodara,https://collegedunia.com/university/58510-gsfc-university-vadodara
253,Federal Institute of Science and Technology - [FISAT],Ernakulam,https://collegedunia.com/college/13462-federal-institute-of-science-and-technology-fisat-ernakulam
254,Galgotias College of Engineering and Technology - [GCET],Greater Noida,https://collegedunia.com/college/13522-galgotias-college-of-engineering-and-technology-gcet-greater-noida
255,Global Academy of Technology - [GAT],Bangalore,https://collegedunia.com/college/13557-global-academy-of-technology-gat-bangalore
256,HKBK Group of Institutions,Bangalore,https://collegedunia.com/college/13688-hkbk-group-of-institutions-bangalore
257,Sri Vasavi Engineering College - [SVEC],Tadepalligudem,https://collegedunia.com/college/15276-sri-vasavi-engineering-college-svec-tadepalligudem
258,Uka Tarsadia University,Bardoli,https://collegedunia.com/university/25514-uka-tarsadia-university-bardoli
259,AKS University - [AKSU],Satna,https://collegedunia.com/university/25655-aks-university-aksu-satna
260,ITM University,Gwalior,https://collegedunia.com/university/25668-itm-university-gwalior
261,Jagannath University,Jaipur,https://collegedunia.com/university/25815-jagannath-university-jaipur
262,Babu Banarasi Das University - [BBDU],Lucknow,https://collegedunia.com/university/25923-babu-banarasi-das-university-bbdu-lucknow
263,JIS College of Engineering - [JISCE],Kolkata,https://collegedunia.com/college/45696-jis-college-of-engineering-jisce-kolkata
264,Rayat Bahra University,Mohali,https://collegedunia.com/university/54837-rayat-bahra-university-mohali
265,Amity University,Raipur,https://collegedunia.com/university/55898-amity-university-raipur
266,IILM University,Gurgaon,https://collegedunia.com/university/59552-iilm-university-gurgaon
267,Cambridge Institute of Technology - [CiTech],Bangalore,https://collegedunia.com/college/56039-cambridge-institute-of-technology-citech-bangalore
268,RC Patel Institute of Technology - [RCPIT],Shirpur,https://collegedunia.com/college/14640-rc-patel-institute-of-technology-rcpit-shirpur
269,St. Francis Institute of Technology - [SFIT],Mumbai,https://collegedunia.com/college/15309-st-francis-institute-of-technology-sfit-mumbai
270,ICFAI University,West Tripura,https://collegedunia.com/university/25915-icfai-university-west-tripura
271,Atharva College of Engineering,Mumbai,https://collegedunia.com/college/12904-atharva-college-of-engineering-mumbai
272,Don Bosco Institute of Technology - [DBIT],Mumbai,https://collegedunia.com/college/13358-don-bosco-institute-of-technology-dbit-mumbai
273,GNIOT Group of Institutions - [GNIOT],Greater Noida,https://collegedunia.com/college/13636-gniot-group-of-institutions-gniot-greater-noida
274,Jeppiaar Engineering College,Chennai,https://collegedunia.com/college/13876-jeppiaar-engineering-college-chennai
275,Karpagam College of Engineering - [KCE],Coimbatore,https://collegedunia.com/college/13985-karpagam-college-of-engineering-kce-coimbatore
276,KIET Group of Institutions - [KIET],Ghaziabad,https://collegedunia.com/college/14038-kiet-group-of-institutions-kiet-ghaziabad
277,PES College of Engineering - [PESCOE],Aurangabad,https://collegedunia.com/college/14553-pes-college-of-engineering-pescoe-aurangabad
278,Raghu Engineering College - [REC],Visakhapatnam,https://collegedunia.com/college/14691-raghu-engineering-college-rec-visakhapatnam
279,Symbiosis Institute of Technology - [SIT],Pune,https://collegedunia.com/college/15409-symbiosis-institute-of-technology-sit-pune
280,Terna Engineering College Navi Mumbai,Mumbai,https://collegedunia.com/college/15450-terna-engineering-college-navi-mumbai-mumbai
281,Vivekanand Education Society Institute of Technology - [VESIT],Mumbai,https://collegedunia.com/college/15528-vivekanand-education-society-institute-of-technology-vesit-mumbai
282,Sreenidhi Institute of Science and Technology - [SNIST],Hyderabad,https://collegedunia.com/college/16918-sreenidhi-institute-of-science-and-technology-snist-hyderabad
283,Paavai Engineering College (Autonomous),Namakkal,https://collegedunia.com/college/24320-paavai-engineering-college-autonomous-namakkal
284,Assam Don Bosco University - [ADBU],Guwahati,https://collegedunia.com/university/25394-assam-don-bosco-university-adbu-guwahati
285,RK University - [RKU],Rajkot,https://collegedunia.com/university/25505-rk-university-rku-rajkot
286,Baddi University of Emerging Sciences and Technologies - [BUEST],Baddi,https://collegedunia.com/university/25548-baddi-university-of-emerging-sciences-and-technologies-buest-baddi
287,Sai Nath University,Ranchi,https://collegedunia.com/university/25588-sai-nath-university-ranchi
288,GITAM,Bangalore,https://collegedunia.com/university/25600-gitam-bangalore
289,Yenepoya University,Mangalore,https://collegedunia.com/university/25634-yenepoya-university-mangalore
290,DAV University,Jalandhar,https://collegedunia.com/university/25779-dav-university-jalandhar
291,Pacific University,Udaipur,https://collegedunia.com/university/25836-pacific-university-udaipur
292,ICFAI University,Dehradun,https://collegedunia.com/university/25990-icfai-university-dehradun
293,KCG College of Technology,Chennai,https://collegedunia.com/college/28290-kcg-college-of-technology-chennai
294,Silicon Institute of Technology - [SIT],Sambalpur,https://collegedunia.com/college/28581-silicon-institute-of-technology-sit-sambalpur
295,Birla Institute of Technology - [BIT],Patna,https://collegedunia.com/college/45043-birla-institute-of-technology-bit-patna
296,Birla Global University - [BGU],Bhubaneswar,https://collegedunia.com/university/55881-birla-global-university-bgu-bhubaneswar
297,GITAM,Hyderabad,https://collegedunia.com/university/55950-gitam-hyderabad
298,Medi-Caps University,Indore,https://collegedunia.com/university/56455-medicaps-university-indore
299,GNA University,Phagwara,https://collegedunia.com/university/57065-gna-university-phagwara
300,Mahindra University,Hyderabad,https://collegedunia.com/university/57221-mahindra-university-hyderabad
301,The Neotia University - [TNU],Kolkata,https://collegedunia.com/university/57421-the-neotia-university-tnu-kolkata
302,Starex University,Gurgaon,https://collegedunia.com/university/58981-starex-university-gurgaon
303,Institute of Engineering and Science - [IES],Indore,https://collegedunia.com/college/28957-institute-of-engineering-and-science-ies-indore
304,GIFT Autonomous,Bhubaneswar,https://collegedunia.com/college/13528-gift-autonomous-bhubaneswar
305,Parul University,Vadodara,https://collegedunia.com/university/55884-parul-university-vadodara
306,Dr. C.V. Raman University - [CVRU],Bilaspur,https://collegedunia.com/university/25429-dr-cv-raman-university-cvru-bilaspur
307,Jigyasa University (Formerly Himgiri Zee University),Dehradun,https://collegedunia.com/university/25989-jigyasa-university-formerly-himgiri-zee-university-dehradun
308,Jagran Lakecity University - [JLU],Bhopal,https://collegedunia.com/university/54856-jagran-lakecity-university-jlu-bhopal
309,ACS College of Engineering - [ACSCE],Bangalore,https://collegedunia.com/college/12672-acs-college-of-engineering-acsce-bangalore
310,Adhiyamaan College of Engineering,Hosur,https://collegedunia.com/college/12727-adhiyamaan-college-of-engineering-hosur
