Serial No.,College Name,Ranking Agency,Year,Rank
78,BV Raju Institute of Technology - [BVRIT],B.Tech,2021 Ranking,#124|  out of 218 in  |India 2021
79,University of Petroleum and Energy Studies - [UPES],Overall,2023 Ranking,-
79,University of Petroleum and Energy Studies - [UPES],Overall,2022 Ranking,#48|  out of 81 in  |India 2022
79,University of Petroleum and Energy Studies - [UPES],Overall,2021 Ranking,#48|  out of 79 in  |India 2021
79,University of Petroleum and Energy Studies - [UPES],B.Tech,2023 Ranking,#72|  out of 131 in  |India 2023|#2nd in Uttarakhand
79,University of Petroleum and Energy Studies - [UPES],B.Tech,2022 Ranking,#68|  out of 216 in  |India 2022|#2nd in Uttarakhand
79,University of Petroleum and Energy Studies - [UPES],B.Tech,2021 Ranking,-
79,University of Petroleum and Energy Studies - [UPES],MBA,2023 Ranking,#33|  out of 193 in  |India 2023|#1st in Uttarakhand
79,University of Petroleum and Energy Studies - [UPES],MBA,2022 Ranking,-
79,University of Petroleum and Energy Studies - [UPES],MBA,2021 Ranking,-
80,Vardhaman College of Engineering - [VCE],B.Tech,2024 Ranking,#74|  out of 245 in  |India 2024|#10th in Hyderabad
80,Vardhaman College of Engineering - [VCE],B.Tech,2023 Ranking,#106|  out of 131 in  |India 2023|#10th in Hyderabad
80,Vardhaman College of Engineering - [VCE],B.Tech,2022 Ranking,#104|  out of 216 in  |India 2022|#10th in Hyderabad
81,BMS Institute of Technology and Management - [BMSIT],B.Tech,2024 Ranking,#201-300|  out of 300 in  |India 2024|#8th in Bangalore
81,BMS Institute of Technology and Management - [BMSIT],B.Tech,2022 Ranking,#199|  out of 300 in  |India 2022|#11th in Bangalore
81,BMS Institute of Technology and Management - [BMSIT],B.Tech,2021 Ranking,#152|  out of 300 in  |India 2021|#7th in Bangalore
82,B. N. M. Institute of Technology - [BNMIT],Overall,2024 Ranking,-
82,B. N. M. Institute of Technology - [BNMIT],Overall,2023 Ranking,#131|  out of 281 in  |India 2023|#12th in Bangalore
82,B. N. M. Institute of Technology - [BNMIT],Overall,2022 Ranking,-
82,B. N. M. Institute of Technology - [BNMIT],B.Tech,2024 Ranking,#122|  out of 284 in  |India 2024|#12th in Bangalore
82,B. N. M. Institute of Technology - [BNMIT],B.Tech,2023 Ranking,#100|  out of 246 in  |India 2023
82,B. N. M. Institute of Technology - [BNMIT],B.Tech,2022 Ranking,#112|  out of 238 in  |India 2022
83,KLE Technological University,Overall,2024 Ranking,#150-200|  out of 200 in  |India 2024
83,KLE Technological University,Overall,2023 Ranking,#151|  out of 200 in  |India 2023
83,KLE Technological University,Overall,2022 Ranking,#151-200|  out of 200 in  |India 2022
83,KLE Technological University,B.Tech,2024 Ranking,#151-200|  out of 300 in  |India 2024|#11th in Karnataka
83,KLE Technological University,B.Tech,2023 Ranking,-
83,KLE Technological University,B.Tech,2022 Ranking,#196|  out of 300 in  |India 2022|#18th in Karnataka
84,RMK Engineering College - [RMKEC],Overall,2024 Ranking,-
84,RMK Engineering College - [RMKEC],Overall,2023 Ranking,#72|  out of 281 in  |India 2023|#4th in Tamil Nadu
84,RMK Engineering College - [RMKEC],Overall,2022 Ranking,-
84,RMK Engineering College - [RMKEC],B.Tech,2024 Ranking,#72|  out of 284 in  |India 2024|#4th in Tamil Nadu
84,RMK Engineering College - [RMKEC],B.Tech,2023 Ranking,#42|  out of 246 in  |India 2023
84,RMK Engineering College - [RMKEC],B.Tech,2022 Ranking,#46|  out of 238 in  |India 2022
85,MIT World Peace University - [MIT-WPU],Overall,2024 Ranking,-
85,MIT World Peace University - [MIT-WPU],Overall,2023 Ranking,#37|  out of 69 in  |India 2023
85,MIT World Peace University - [MIT-WPU],Overall,2022 Ranking,-
85,MIT World Peace University - [MIT-WPU],Commerce,2024 Ranking,-
85,MIT World Peace University - [MIT-WPU],Commerce,2023 Ranking,#88|  out of 225 in  |India 2023|#3rd in Pune
85,MIT World Peace University - [MIT-WPU],Commerce,2022 Ranking,#91|  out of 212 in  |India 2022|#3rd in Pune
85,MIT World Peace University - [MIT-WPU],Computer Applications,2024 Ranking,#49|  out of 167 in  |India 2024|#5th in Pune
85,MIT World Peace University - [MIT-WPU],Computer Applications,2023 Ranking,-
85,MIT World Peace University - [MIT-WPU],Computer Applications,2022 Ranking,-
85,MIT World Peace University - [MIT-WPU],B.Tech,2024 Ranking,#66|  out of 284 in  |India 2024|#7th in Pune
85,MIT World Peace University - [MIT-WPU],B.Tech,2023 Ranking,-
85,MIT World Peace University - [MIT-WPU],B.Tech,2022 Ranking,-
85,MIT World Peace University - [MIT-WPU],MBA,2024 Ranking,-
85,MIT World Peace University - [MIT-WPU],MBA,2023 Ranking,-
85,MIT World Peace University - [MIT-WPU],MBA,2022 Ranking,#162|  out of 281 in  |India 2022|#23rd in Pune
85,MIT World Peace University - [MIT-WPU],Science,2024 Ranking,#114|  out of 211 in  |India 2024|#3rd in Pune
85,MIT World Peace University - [MIT-WPU],Science,2023 Ranking,#113|  out of 197 in  |India 2023|#3rd in Pune
85,MIT World Peace University - [MIT-WPU],Science,2022 Ranking,#118|  out of 186 in  |India 2022|#3rd in Pune
85,MIT World Peace University - [MIT-WPU],BBA/BMS,2024 Ranking,-
85,MIT World Peace University - [MIT-WPU],BBA/BMS,2023 Ranking,-
85,MIT World Peace University - [MIT-WPU],BBA/BMS,2022 Ranking,#30|  out of 182 in  |India 2022
86,Vishwakarma Institute of Information Technology - [VIIT],B.Tech,2021 Ranking,#92|  out of 218 in  |India 2021
86,Vishwakarma Institute of Information Technology - [VIIT],B.Tech,2020 Ranking,#133|  out of 254 in  |India 2020|#11th in Pune
87,Anurag University,Overall,2024 Ranking,-
87,Anurag University,Overall,2023 Ranking,#167|  out of 281 in  |India 2023|#17th in Hyderabad
87,Anurag University,Overall,2022 Ranking,-
87,Anurag University,B.Tech,2024 Ranking,#157|  out of 284 in  |India 2024|#14th in Hyderabad
87,Anurag University,B.Tech,2023 Ranking,#135|  out of 246 in  |India 2023
87,Anurag University,B.Tech,2022 Ranking,#122|  out of 238 in  |India 2022
88,Narula Institute of Technology - [NIT Agarpara],Overall,2024 Ranking,-
88,Narula Institute of Technology - [NIT Agarpara],Overall,2023 Ranking,#241|  out of 281 in  |India 2023|#4th in Kolkata
88,Narula Institute of Technology - [NIT Agarpara],Overall,2022 Ranking,-
88,Narula Institute of Technology - [NIT Agarpara],B.Tech,2024 Ranking,#238|  out of 284 in  |India 2024|#5th in Kolkata
88,Narula Institute of Technology - [NIT Agarpara],B.Tech,2023 Ranking,#208|  out of 246 in  |India 2023
88,Narula Institute of Technology - [NIT Agarpara],B.Tech,2022 Ranking,#218|  out of 238 in  |India 2022
88,Narula Institute of Technology - [NIT Agarpara],BBA/BMS,2024 Ranking,-
88,Narula Institute of Technology - [NIT Agarpara],BBA/BMS,2023 Ranking,-
88,Narula Institute of Technology - [NIT Agarpara],BBA/BMS,2022 Ranking,#143|  out of 182 in  |India 2022|#3rd in Kolkata
89,PES College of Engineering - [PESCE],Overall,2024 Ranking,-
89,PES College of Engineering - [PESCE],Overall,2023 Ranking,#117|  out of 281 in  |India 2023|#17th in Karnataka
89,PES College of Engineering - [PESCE],Overall,2022 Ranking,-
89,PES College of Engineering - [PESCE],B.Tech,2024 Ranking,#109|  out of 284 in  |India 2024|#17th in Karnataka
89,PES College of Engineering - [PESCE],B.Tech,2023 Ranking,#86|  out of 246 in  |India 2023
89,PES College of Engineering - [PESCE],B.Tech,2022 Ranking,#73|  out of 238 in  |India 2022
89,PES College of Engineering - [PESCE],MBA,2024 Ranking,#229|  out of 275 in  |India 2024
89,PES College of Engineering - [PESCE],MBA,2023 Ranking,-
89,PES College of Engineering - [PESCE],MBA,2022 Ranking,#245|  out of 281 in  |India 2022
90,Sree Vidyanikethan Engineering College - [SVEC],B.Tech,2020 Ranking,#91|  out of 191 in  |India 2020|#2nd in Andhra Pradesh
90,Sree Vidyanikethan Engineering College - [SVEC],B.Tech,2019 Ranking,#104|  out of 130 in  |India 2019|#3rd in Andhra Pradesh
91,"Manav Rachna International Institute Of Research And Studies, Faculty of Engineering and Technology - [MRIIRSFET]",B.Tech,2024 Ranking,#82|  out of 284 in  |India 2024|#1st in Haryana
91,"Manav Rachna International Institute Of Research And Studies, Faculty of Engineering and Technology - [MRIIRSFET]",B.Tech,2023 Ranking,#55|  out of 246 in  |India 2023
91,"Manav Rachna International Institute Of Research And Studies, Faculty of Engineering and Technology - [MRIIRSFET]",B.Tech,2022 Ranking,#55|  out of 238 in  |India 2022
92,Vasavi College of Engineering,B.Tech,2020 Ranking,#78|  out of 191 in  |India 2020|#3rd in Hyderabad
92,Vasavi College of Engineering,B.Tech,2019 Ranking,#86|  out of 130 in  |India 2019|#4th in Hyderabad
93,CMR Institute of Technology - [CMRIT],Overall,2024 Ranking,-
93,CMR Institute of Technology - [CMRIT],Overall,2023 Ranking,#116|  out of 281 in  |India 2023|#11th in Bangalore
93,CMR Institute of Technology - [CMRIT],Overall,2022 Ranking,-
93,CMR Institute of Technology - [CMRIT],B.Tech,2024 Ranking,#112|  out of 284 in  |India 2024|#11th in Bangalore
93,CMR Institute of Technology - [CMRIT],B.Tech,2023 Ranking,#85|  out of 246 in  |India 2023
93,CMR Institute of Technology - [CMRIT],B.Tech,2022 Ranking,#76|  out of 238 in  |India 2022
93,CMR Institute of Technology - [CMRIT],MBA,2024 Ranking,#189|  out of 275 in  |India 2024
93,CMR Institute of Technology - [CMRIT],MBA,2023 Ranking,-
93,CMR Institute of Technology - [CMRIT],MBA,2022 Ranking,-
94,G. Pulla Reddy Engineering College - [GPREC],Overall,2024 Ranking,-
94,G. Pulla Reddy Engineering College - [GPREC],Overall,2023 Ranking,#192|  out of 281 in  |India 2023|#11th in Andhra Pradesh
94,G. Pulla Reddy Engineering College - [GPREC],Overall,2022 Ranking,-
94,G. Pulla Reddy Engineering College - [GPREC],B.Tech,2024 Ranking,#192|  out of 284 in  |India 2024|#13th in Andhra Pradesh
94,G. Pulla Reddy Engineering College - [GPREC],B.Tech,2023 Ranking,#160|  out of 246 in  |India 2023
94,G. Pulla Reddy Engineering College - [GPREC],B.Tech,2022 Ranking,#173|  out of 238 in  |India 2022
95,Haldia Institute of Technology - [HIT],B.Tech,2024 Ranking,#201-300|  out of 300 in  |India 2024|#7th in West Bengal
95,Haldia Institute of Technology - [HIT],B.Tech,2022 Ranking,#251-300|  out of 300 in  |India 2022|#6th in West Bengal
95,Haldia Institute of Technology - [HIT],B.Tech,2021 Ranking,#201-250|  out of 300 in  |India 2021|#7th in West Bengal
96,Ramrao Adik Institute of Technology - [RAIT],Overall,2024 Ranking,-
96,Ramrao Adik Institute of Technology - [RAIT],Overall,2023 Ranking,#152|  out of 281 in  |India 2023|#26th in Maharashtra
96,Ramrao Adik Institute of Technology - [RAIT],Overall,2021 Ranking,-
96,Ramrao Adik Institute of Technology - [RAIT],B.Tech,2024 Ranking,#138|  out of 284 in  |India 2024|#24th in Maharashtra
96,Ramrao Adik Institute of Technology - [RAIT],B.Tech,2023 Ranking,#120|  out of 246 in  |India 2023
96,Ramrao Adik Institute of Technology - [RAIT],B.Tech,2021 Ranking,#85|  out of 218 in  |India 2021
97,Sri Venkateswara College of Engineering and Technology - [SVCET],B.Tech,2024 Ranking,#170|  out of 245 in  |India 2024|#21st in Andhra Pradesh
97,Sri Venkateswara College of Engineering and Technology - [SVCET],B.Tech,2022 Ranking,#193|  out of 216 in  |India 2022|#17th in Andhra Pradesh
98,The National Institute of Engineering - [NIE],B.Tech,2024 Ranking,#43|  out of 284 in  |India 2024|#5th in Karnataka
98,The National Institute of Engineering - [NIE],B.Tech,2022 Ranking,#14|  out of 238 in  |India 2022
98,The National Institute of Engineering - [NIE],B.Tech,2021 Ranking,#13|  out of 218 in  |India 2021
99,North Eastern Regional Institute of Science and Technology - [NERIST],B.Tech,2022 Ranking,#167|  out of 238 in  |India 2022
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],Overall,2024 Ranking,-
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],Overall,2023 Ranking,#143|  out of 281 in  |India 2023|#7th in Andhra Pradesh
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],Overall,2022 Ranking,-
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],B.Tech,2024 Ranking,#133|  out of 284 in  |India 2024|#7th in Andhra Pradesh
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],B.Tech,2023 Ranking,#112|  out of 246 in  |India 2023
100,Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],B.Tech,2022 Ranking,#115|  out of 238 in  |India 2022
101,Dr. Mahalingam College of Engineering & Technology - [MCET],B.Tech,2020 Ranking,#153|  out of 191 in  |India 2020|#25th in Tamil Nadu
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],Overall,2023 Ranking,#158|  out of 281 in  |India 2023|#14th in Hyderabad
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],Overall,2022 Ranking,-
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],Overall,2021 Ranking,-
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],B.Tech,2023 Ranking,#126|  out of 246 in  |India 2023
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],B.Tech,2022 Ranking,#130|  out of 238 in  |India 2022
102,Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET],B.Tech,2021 Ranking,#140|  out of 218 in  |India 2021
103,Kakatiya Institute of Technology & Science - [KITSW],B.Tech,2024 Ranking,#223|  out of 284 in  |India 2024|#26th in Telangana
104,Shri Vishnu Engineering College for Women - [SVECW],Overall,2024 Ranking,-
104,Shri Vishnu Engineering College for Women - [SVECW],Overall,2023 Ranking,#127|  out of 281 in  |India 2023|#5th in Andhra Pradesh
104,Shri Vishnu Engineering College for Women - [SVECW],Overall,2022 Ranking,-
104,Shri Vishnu Engineering College for Women - [SVECW],B.Tech,2024 Ranking,#126|  out of 284 in  |India 2024|#6th in Andhra Pradesh
104,Shri Vishnu Engineering College for Women - [SVECW],B.Tech,2023 Ranking,#96|  out of 246 in  |India 2023
104,Shri Vishnu Engineering College for Women - [SVECW],B.Tech,2022 Ranking,#94|  out of 238 in  |India 2022
105,Alliance College of Engineering and Design,B.Tech,2019 Ranking,#186|  out of 200 in  |India 2019|#14th in Bangalore
106,Saveetha School of Engineering - [SSE],B.Tech,2020 Ranking,#109|  out of 254 in  |India 2020|#6th in Chennai
107,Pimpri Chinchwad College of Engineering - [PCCOE],Overall,2024 Ranking,-
107,Pimpri Chinchwad College of Engineering - [PCCOE],Overall,2023 Ranking,#108|  out of 281 in  |India 2023|#9th in Pune
107,Pimpri Chinchwad College of Engineering - [PCCOE],Overall,2022 Ranking,-
107,Pimpri Chinchwad College of Engineering - [PCCOE],B.Tech,2024 Ranking,#97|  out of 284 in  |India 2024|#9th in Pune
107,Pimpri Chinchwad College of Engineering - [PCCOE],B.Tech,2023 Ranking,#77|  out of 246 in  |India 2023
107,Pimpri Chinchwad College of Engineering - [PCCOE],B.Tech,2022 Ranking,#84|  out of 238 in  |India 2022
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],Overall,2024 Ranking,-
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],Overall,2023 Ranking,#28|  out of 281 in  |India 2023|#2nd in Mumbai
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],Overall,2022 Ranking,-
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],B.Tech,2024 Ranking,#27|  out of 284 in  |India 2024|#2nd in Mumbai
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],B.Tech,2023 Ranking,#8|  out of 246 in  |India 2023
108,Dwarkadas J Sanghvi College of Engineering - [DJSCE],B.Tech,2022 Ranking,#11|  out of 238 in  |India 2022
109,Fr. Conceicao Rodrigues College of Engineering - [CRCE],B.Tech,2020 Ranking,#118|  out of 254 in  |India 2020|#6th in Mumbai
110,Dr. M.G.R. Educational and Research Institute,Overall,2023 Ranking,#14|  out of 69 in  |India 2023
110,Dr. M.G.R. Educational and Research Institute,Overall,2022 Ranking,#16|  out of 62 in  |India 2022
111,Basaveshwar Engineering College - [BEC],B.Tech,2020 Ranking,#251|  out of 254 in  |India 2020|#24th in Karnataka
112,MKSSS's Cummins College of Engineering for Women,Overall,2024 Ranking,-
112,MKSSS's Cummins College of Engineering for Women,Overall,2023 Ranking,#69|  out of 281 in  |India 2023|#7th in Pune
112,MKSSS's Cummins College of Engineering for Women,Overall,2022 Ranking,-
112,MKSSS's Cummins College of Engineering for Women,B.Tech,2024 Ranking,#61|  out of 284 in  |India 2024|#6th in Pune
112,MKSSS's Cummins College of Engineering for Women,B.Tech,2023 Ranking,#39|  out of 246 in  |India 2023
112,MKSSS's Cummins College of Engineering for Women,B.Tech,2022 Ranking,#49|  out of 238 in  |India 2022
113,Sagi Ramakrishnam Raju Engineering College - [SRKR ],B.Tech,2024 Ranking,#234|  out of 245 in  |India 2024|#26th in Andhra Pradesh
113,Sagi Ramakrishnam Raju Engineering College - [SRKR ],B.Tech,2019 Ranking,#117|  out of 130 in  |India 2019|#5th in Andhra Pradesh
114,Sri Sairam Institute of Technology - [SSIT],Overall,2024 Ranking,-
114,Sri Sairam Institute of Technology - [SSIT],Overall,2023 Ranking,#135|  out of 281 in  |India 2023|#8th in Chennai
114,Sri Sairam Institute of Technology - [SSIT],Overall,2022 Ranking,-
114,Sri Sairam Institute of Technology - [SSIT],B.Tech,2024 Ranking,#131|  out of 284 in  |India 2024|#7th in Chennai
114,Sri Sairam Institute of Technology - [SSIT],B.Tech,2023 Ranking,#104|  out of 246 in  |India 2023
114,Sri Sairam Institute of Technology - [SSIT],B.Tech,2022 Ranking,#95|  out of 238 in  |India 2022
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,Overall,2023 Ranking,#106|  out of 281 in  |India 2023|#6th in Chennai
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,Overall,2022 Ranking,-
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,Overall,2021 Ranking,-
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,B.Tech,2023 Ranking,#75|  out of 246 in  |India 2023
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,B.Tech,2022 Ranking,#68|  out of 238 in  |India 2022
115,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,B.Tech,2021 Ranking,#61|  out of 218 in  |India 2021
116,Thakur College of Engineering and Technology - [TCET],B.Tech,2020 Ranking,#201|  out of 300 in  |India 2020|#7th in Mumbai
116,Thakur College of Engineering and Technology - [TCET],B.Tech,2019 Ranking,#193|  out of 200 in  |India 2019|#9th in Mumbai
117,Easwari Engineering College - [EEC],Overall,2024 Ranking,-
117,Easwari Engineering College - [EEC],Overall,2023 Ranking,#125|  out of 281 in  |India 2023|#7th in Chennai
117,Easwari Engineering College - [EEC],Overall,2022 Ranking,-
117,Easwari Engineering College - [EEC],B.Tech,2024 Ranking,#116|  out of 284 in  |India 2024|#6th in Chennai
117,Easwari Engineering College - [EEC],B.Tech,2023 Ranking,#94|  out of 246 in  |India 2023
117,Easwari Engineering College - [EEC],B.Tech,2022 Ranking,#96|  out of 238 in  |India 2022
117,Easwari Engineering College - [EEC],MBA,2024 Ranking,#178|  out of 275 in  |India 2024|#21st in Chennai
117,Easwari Engineering College - [EEC],MBA,2023 Ranking,#190|  out of 272 in  |India 2023|#7th in Chennai
117,Easwari Engineering College - [EEC],MBA,2022 Ranking,#207|  out of 281 in  |India 2022|#22nd in Chennai
118,Gayatri Vidya Parishad College of Engineering,B.Tech,2022 Ranking,#251-300|  out of 300 in  |India 2022|#11th in Andhra Pradesh
118,Gayatri Vidya Parishad College of Engineering,B.Tech,2021 Ranking,#201-250|  out of 300 in  |India 2021|#7th in Andhra Pradesh
118,Gayatri Vidya Parishad College of Engineering,B.Tech,2020 Ranking,#188|  out of 300 in  |India 2020|#9th in Andhra Pradesh
119,Dr. B R Ambedkar Institute of Technology,B.Tech,2021 Ranking,#201-250|  out of 300 in  |India 2021
119,Dr. B R Ambedkar Institute of Technology,B.Tech,2020 Ranking,#201|  out of 300 in  |India 2020
119,Dr. B R Ambedkar Institute of Technology,B.Tech,2019 Ranking,#198|  out of 200 in  |India 2019
120,Manipal University - [MUJ],Overall,2024 Ranking,#11|  out of 73 in  |India 2024
120,Manipal University - [MUJ],Overall,2023 Ranking,#10|  out of 69 in  |India 2023
120,Manipal University - [MUJ],Overall,2022 Ranking,#9|  out of 62 in  |India 2022
120,Manipal University - [MUJ],B.Tech,2024 Ranking,#51|  out of 284 in  |India 2024|#4th in Rajasthan
120,Manipal University - [MUJ],B.Tech,2023 Ranking,-
120,Manipal University - [MUJ],B.Tech,2022 Ranking,-
120,Manipal University - [MUJ],Law,2024 Ranking,#34|  out of 66 in  |India 2024|#1st in Rajasthan
120,Manipal University - [MUJ],Law,2023 Ranking,-
120,Manipal University - [MUJ],Law,2022 Ranking,-
121,The LNM Institute of Information Technology - [LNMIIT],Overall,2024 Ranking,-
121,The LNM Institute of Information Technology - [LNMIIT],Overall,2023 Ranking,#51|  out of 281 in  |India 2023|#3rd in Rajasthan
121,The LNM Institute of Information Technology - [LNMIIT],Overall,2022 Ranking,-
121,The LNM Institute of Information Technology - [LNMIIT],B.Tech,2024 Ranking,#50|  out of 284 in  |India 2024|#3rd in Rajasthan
121,The LNM Institute of Information Technology - [LNMIIT],B.Tech,2023 Ranking,#22|  out of 246 in  |India 2023
121,The LNM Institute of Information Technology - [LNMIIT],B.Tech,2022 Ranking,#26|  out of 238 in  |India 2022
122,SRM Institute of Science and Technology - [SRMIST],Overall,2024 Ranking,-
122,SRM Institute of Science and Technology - [SRMIST],Overall,2022 Ranking,-
122,SRM Institute of Science and Technology - [SRMIST],Overall,2021 Ranking,#13|  out of 178 in  |India 2021|#6th in Chennai
122,SRM Institute of Science and Technology - [SRMIST],B.Tech,2024 Ranking,-
122,SRM Institute of Science and Technology - [SRMIST],B.Tech,2022 Ranking,#7|  out of 238 in  |India 2022
122,SRM Institute of Science and Technology - [SRMIST],B.Tech,2021 Ranking,#8|  out of 218 in  |India 2021
122,SRM Institute of Science and Technology - [SRMIST],MBA,2024 Ranking,-
122,SRM Institute of Science and Technology - [SRMIST],MBA,2022 Ranking,#105|  out of 281 in  |India 2022|#3rd in Tamil Nadu
122,SRM Institute of Science and Technology - [SRMIST],MBA,2021 Ranking,#80|  out of 268 in  |India 2021|#3rd in Chennai
122,SRM Institute of Science and Technology - [SRMIST],BBA/BMS,2024 Ranking,#10|  out of 211 in  |India 2024
122,SRM Institute of Science and Technology - [SRMIST],BBA/BMS,2022 Ranking,#10|  out of 182 in  |India 2022|#3rd in Chennai
122,SRM Institute of Science and Technology - [SRMIST],BBA/BMS,2021 Ranking,#13|  out of 178 in  |India 2021|#4th in Chennai
123,Christ University,Overall,2024 Ranking,#4|  out of 73 in  |India 2024
123,Christ University,Overall,2023 Ranking,#3|  out of 69 in  |India 2023
123,Christ University,Overall,2022 Ranking,#2|  out of 62 in  |India 2022
123,Christ University,Arts,2024 Ranking,#15|  out of 186 in  |India 2024|#1st in Bangalore
123,Christ University,Arts,2023 Ranking,#11|  out of 173 in  |India 2023|#1st in Bangalore
123,Christ University,Arts,2022 Ranking,#9|  out of 171 in  |India 2022|#1st in Bangalore
123,Christ University,Commerce,2024 Ranking,#11|  out of 229 in  |India 2024|#1st in Bangalore
123,Christ University,Commerce,2023 Ranking,#8|  out of 225 in  |India 2023|#1st in Bangalore
123,Christ University,Commerce,2022 Ranking,#7|  out of 212 in  |India 2022|#1st in Bangalore
123,Christ University,Computer Applications,2024 Ranking,#1|  out of 167 in  |India 2024|#1st in Bangalore
123,Christ University,Computer Applications,2023 Ranking,#1|  out of 170 in  |India 2023|#1st in Bangalore
123,Christ University,Computer Applications,2022 Ranking,#1|  out of 149 in  |India 2022|#1st in Bangalore
123,Christ University,Hotel Management,2024 Ranking,#13|  out of 76 in  |India 2024|#3rd in Bangalore
123,Christ University,Hotel Management,2023 Ranking,#12|  out of 75 in  |India 2023|#3rd in Bangalore
123,Christ University,Hotel Management,2022 Ranking,#11|  out of 70 in  |India 2022|#3rd in Bangalore
123,Christ University,MBA,2024 Ranking,#59|  out of 275 in  |India 2024|#12th in Bangalore
123,Christ University,MBA,2023 Ranking,-
123,Christ University,MBA,2022 Ranking,-
123,Christ University,Mass Communications,2024 Ranking,#8|  out of 55 in  |India 2024|#2nd in Bangalore
123,Christ University,Mass Communications,2023 Ranking,#8|  out of 55 in  |India 2023|#1st in Bangalore
123,Christ University,Mass Communications,2022 Ranking,#7|  out of 47 in  |India 2022|#1st in Bangalore
123,Christ University,Science,2024 Ranking,#13|  out of 211 in  |India 2024|#2nd in Bangalore
123,Christ University,Science,2023 Ranking,#14|  out of 197 in  |India 2023|#2nd in Bangalore
123,Christ University,Science,2022 Ranking,#13|  out of 186 in  |India 2022|#1st in Bangalore
123,Christ University,Social Work,2024 Ranking,#6|  out of 64 in  |India 2024|#1st in Bangalore
123,Christ University,Social Work,2023 Ranking,#5|  out of 55 in  |India 2023|#1st in Bangalore
123,Christ University,Social Work,2022 Ranking,#7|  out of 56 in  |India 2022|#1st in Bangalore
124,Manipal Academy of Higher Education - [MAHE],NIRF (Overall),2023,16
124,Manipal Academy of Higher Education - [MAHE],NIRF (Universities),2023,6
124,Manipal Academy of Higher Education - [MAHE],NIRF (Research),2023,25
124,Manipal Academy of Higher Education - [MAHE],QS World University Rankings,2023,751-800
124,Manipal Academy of Higher Education - [MAHE],QS World Asian University Ranking,2023,215
124,Manipal Academy of Higher Education - [MAHE],Times Higher Education,2023,801-1000
124,Manipal Academy of Higher Education - [MAHE],CWUR,2023,1285 out of 2000
125,Centurion University of Technology and Management - [CUTM],Overall,2021 Ranking,#151-200|  out of 200 in  |India 2021
125,Centurion University of Technology and Management - [CUTM],B.Tech,2021 Ranking,#185|  out of 300 in  |India 2021|#8th in Odisha
126,Sharda University,QS I Gauge,No data found,Gold University
126,Sharda University,NIRF 2022,No data found,151-200 (Overall)
126,Sharda University,EduRank,No data found,163 (India)
126,Sharda University,NAAC,No data found,A+ Ranking
127,SVKM's Narsee Monjee Institute of Management Studies - [NMIMS University],No data found,No data found,No data found
128,K.R. Mangalam University,Overall,2024 Ranking,#76|  out of 92 in  |India 2024
128,K.R. Mangalam University,Overall,2023 Ranking,#71|  out of 85 in  |India 2023
128,K.R. Mangalam University,Overall,2022 Ranking,#70|  out of 81 in  |India 2022
128,K.R. Mangalam University,Law,2024 Ranking,-
128,K.R. Mangalam University,Law,2023 Ranking,#35|  out of 41 in  |India 2023|#2nd in Haryana
128,K.R. Mangalam University,Law,2022 Ranking,-
129,Galgotias University - [GU],Overall,2024 Ranking,#9|  out of 73 in  |India 2024
129,Galgotias University - [GU],Overall,2023 Ranking,#39|  out of 281 in  |India 2023|#5th in Uttar Pradesh
129,Galgotias University - [GU],Overall,2022 Ranking,#11|  out of 62 in  |India 2022
129,Galgotias University - [GU],Arts,2024 Ranking,#79|  out of 186 in  |India 2024|#3rd in Uttar Pradesh
129,Galgotias University - [GU],Arts,2023 Ranking,#80|  out of 173 in  |India 2023|#3rd in Uttar Pradesh
129,Galgotias University - [GU],Arts,2022 Ranking,#82|  out of 171 in  |India 2022|#3rd in Uttar Pradesh
129,Galgotias University - [GU],Commerce,2024 Ranking,#64|  out of 229 in  |India 2024|#3rd in Uttar Pradesh
129,Galgotias University - [GU],Commerce,2023 Ranking,-
129,Galgotias University - [GU],Commerce,2022 Ranking,-
